brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
Porsche,Taycan 4S Plus Sport Turismo,250,97,186,510,3.7,281,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan 4S Sport Turismo,250,82.3,183,440,3.7,195,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan GTS,250,97,176,535,3.3,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan GTS Sport Turismo,250,97,185,505,3.3,281,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan Plus,230,97,168,575,4.8,281,CCS,RWD,F - Luxury,Sedan
Porsche,Taycan Plus Sport Turismo,230,97,176,530,4.8,281,CCS,RWD,F - Luxury,Station/Estate
Porsche,Taycan Sport Turismo,230,82.3,173,460,4.8,195,CCS,RWD,F - Luxury,Station/Estate
Porsche,Taycan Turbo,260,97,174,535,2.7,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan Turbo Cross Turismo,250,97,188,495,2.8,281,CCS,AWD,F - Luxury,Station/Estate
Porsche,Taycan Turbo GT,290,97,184,475,2.3,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan Turbo GT Weissach,305,97,180,475,2.2,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan Turbo S,260,97,174,525,2.4,281,CCS,AWD,F - Luxury,Sedan
Porsche,Taycan Turbo S Cross Turismo,250,97,188,485,2.5,281,CCS,AWD,F - Luxury,Station/Estate
